FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
202003,28,0,41288,909156,"D","03/28/2020 00:00:00",38,"M","In Water",202003
202004,16,0,40755,877114,"I","04/16/2020 00:00:00",27,"M","Vehicle/Towed Trailer",202004
202004,15,0,40765,877048,"D","04/15/2020 00:00:00",30,"M","Outside/Open Areas",202004
202004,12,0,40766,877419,"D","04/12/2020 00:00:00",60,"M","Outside/Open Areas",202004
202004,22,0,40806,880057,"D","04/22/2020 00:00:00",48,"M","In Water",202004
202004,29,0,40807,879418,"D","04/29/2020 00:00:00",1,"M","Vehicle/Towed Trailer",202004
202004,29,0,40808,879418,"D","04/29/2020 00:00:00",2,"M","Vehicle/Towed Trailer",202004
202004,29,0,40809,879418,"D","04/29/2020 00:00:00",4,"F","Vehicle/Towed Trailer",202004
202004,29,0,40810,879418,"D","04/29/2020 00:00:00",6,"F","Vehicle/Towed Trailer",202004
202004,29,0,40811,879418,"D","04/29/2020 00:00:00",12,"F","Vehicle/Towed Trailer",202004
202004,28,0,40830,881161,"D","04/28/2020 00:00:00",44,"M","Under Tree",202004
202004,12,0,40843,882493,"D","04/12/2020 00:00:00",62,"M","Permanent Structure",202004
202004,13,0,40989,884164,"D","04/13/2020 00:00:00",63,"M","Mobile/Trailer Home",202004
202004,13,0,40990,884164,"D","04/13/2020 00:00:00",68,"F","Mobile/Trailer Home",202004
202004,12,0,40992,884080,"I","04/12/2020 00:00:00",32,"M","Vehicle/Towed Trailer",202004
202004,21,0,41006,886389,"D","04/21/2020 00:00:00",80,"M","Outside/Open Areas",202004
202004,8,0,41007,884482,"I","04/08/2020 00:00:00",42,"M","Vehicle/Towed Trailer",202004
202004,30,0,41015,887797,"D","04/30/2020 00:00:00",82,"M","Vehicle/Towed Trailer",202004
202004,13,0,41016,887943,"D","04/13/2020 00:00:00",61,"F","Mobile/Trailer Home",202004
202004,12,0,41022,887908,"D","04/12/2020 00:00:00",,"","Unknown",202004
202004,12,0,41023,887908,"D","04/12/2020 00:00:00",,"","Unknown",202004
202004,9,0,41041,889119,"D","04/09/2020 00:00:00",61,"M","Outside/Open Areas",202004
202004,12,0,41064,889259,"D","04/12/2020 00:00:00",59,"F","Mobile/Trailer Home",202004
202004,12,0,41065,889259,"D","04/12/2020 00:00:00",20,"F","Mobile/Trailer Home",202004
202004,12,0,41066,889259,"D","04/12/2020 00:00:00",63,"F","Mobile/Trailer Home",202004
202004,12,0,41067,889259,"D","04/12/2020 00:00:00",50,"M","Mobile/Trailer Home",202004
202004,12,0,41068,889259,"D","04/12/2020 00:00:00",79,"M","Mobile/Trailer Home",202004
202004,12,0,41069,889259,"D","04/12/2020 00:00:00",75,"F","Mobile/Trailer Home",202004
202004,12,0,41070,889259,"D","04/12/2020 00:00:00",48,"M","Mobile/Trailer Home",202004
202004,12,0,41071,889259,"D","04/12/2020 00:00:00",57,"M","Mobile/Trailer Home",202004
202004,13,0,41072,889288,"D","04/13/2020 00:00:00",34,"M","Permanent Home",202004
202004,13,0,41073,886100,"D","04/13/2020 00:00:00",77,"M","Long Span Roof",202004
202004,22,0,41080,887044,"D","04/22/2020 00:00:00",,"","Unknown",202004
202004,1,0,41083,890139,"D","04/01/2020 00:00:00",28,"M","Outside/Open Areas",202004
202004,3,0,41084,890140,"D","04/03/2020 00:00:00",46,"M","Outside/Open Areas",202004
202004,12,0,41088,890149,"D","04/12/2020 00:00:00",33,"F","In Water",202004
202004,19,0,41089,890571,"D","04/19/2020 00:00:00",,"M","Mobile/Trailer Home",202004
202004,12,0,41090,890609,"D","04/12/2020 00:00:00",29,"M","Permanent Home",202004
202004,12,0,41091,876337,"D","04/12/2020 00:00:00",46,"M","Mobile/Trailer Home",202004
202004,15,0,41092,876337,"D","04/15/2020 00:00:00",4,"M","Permanent Home",202004
202004,13,0,41099,890717,"D","04/13/2020 00:00:00",57,"M","Vehicle/Towed Trailer",202004
202004,22,0,41100,890652,"D","04/22/2020 00:00:00",46,"M","Vehicle/Towed Trailer",202004
202004,22,0,41101,890652,"D","04/22/2020 00:00:00",46,"M","Outside/Open Areas",202004
202005,4,0,41115,880478,"D","05/04/2020 00:00:00",71,"F","Permanent Structure",202005
202005,11,0,40836,881748,"D","05/11/2020 00:00:00",18,"M","In Water",202005
202005,16,0,40837,881749,"D","05/16/2020 00:00:00",19,"M","In Water",202005
202005,19,0,41009,882294,"D","05/19/2020 00:00:00",46,"F","Vehicle/Towed Trailer",202005
202005,21,0,40842,882377,"D","05/21/2020 00:00:00",62,"M","In Water",202005
202005,17,0,40986,883052,"I","05/17/2020 00:00:00",74,"F","Outside/Open Areas",202005
202005,30,0,40988,884340,"D","05/30/2020 00:00:00",,"M","Boating",202005
202005,27,0,40993,884487,"D","05/27/2020 00:00:00",,"M","In Water",202005
202005,28,0,40994,884489,"D","05/28/2020 00:00:00",31,"M","In Water",202005
202005,27,0,41010,886295,"D","05/27/2020 00:00:00",41,"M","Heavy Equipment/Construction",202005
202005,30,0,41013,887620,"D","05/30/2020 00:00:00",,"","Outside/Open Areas",202005
202005,15,0,41167,888186,"I","05/15/2020 00:00:00",,"M","Vehicle/Towed Trailer",202005
202005,22,0,41019,888317,"D","05/22/2020 00:00:00",57,"M","Vehicle/Towed Trailer",202005
202005,20,0,41063,889249,"D","05/20/2020 00:00:00",29,"M","In Water",202005
202005,6,0,41149,892202,"I","05/06/2020 00:00:00",73,"M","Outside/Open Areas",202005
202005,29,0,41148,892243,"D","05/29/2020 00:00:00",29,"M","In Water",202005
202005,11,0,41165,892502,"D","05/11/2020 00:00:00",3,"F","In Water",202005
202005,11,0,41166,892502,"D","05/11/2020 00:00:00",7,"F","In Water",202005
202005,15,0,41147,892770,"D","05/15/2020 00:00:00",18,"F","In Water",202005
202005,21,0,41172,893920,"D","05/21/2020 00:00:00",20,"M","Mobile/Trailer Home",202005
202005,15,0,41196,894099,"D","05/15/2020 00:00:00",43,"M","In Water",202005
202005,24,0,41164,894576,"D","05/24/2020 00:00:00",17,"M","In Water",202005
202005,5,0,41168,895063,"D","05/05/2020 00:00:00",32,"M","Outside/Open Areas",202005
202005,17,0,41170,895549,"D","05/17/2020 00:00:00",26,"F","Mobile/Trailer Home",202005
202006,6,0,41177,895786,"D","06/06/2020 00:00:00",51,"M","Outside/Open Areas",202005
202005,26,0,41179,895889,"D","05/26/2020 00:00:00",21,"M","Outside/Open Areas",202005
202005,22,0,41195,896679,"D","05/22/2020 00:00:00",,"M","Permanent Home",202005
202005,3,0,41217,897267,"D","05/03/2020 00:00:00",34,"M","Outside/Open Areas",202005
202005,7,0,41188,897450,"I","05/07/2020 00:00:00",47,"M","In Water",202005
202005,30,0,41191,897699,"D","05/30/2020 00:00:00",,"M","Under Tree",202005
202005,28,0,41207,898115,"I","05/28/2020 00:00:00",24,"M","In Water",202005
202005,28,0,41208,898115,"I","05/28/2020 00:00:00",,"M","In Water",202005
202005,28,0,41209,898115,"I","05/28/2020 00:00:00",,"M","In Water",202005
202005,22,0,41226,899873,"D","05/22/2020 00:00:00",24,"M","In Water",202005
202006,2,0,40985,884311,"D","06/02/2020 00:00:00",61,"M","Boating",202006
202006,3,0,40996,885500,"D","06/03/2020 00:00:00",38,"M","Permanent Structure",202006
202006,3,0,40997,885505,"D","06/03/2020 00:00:00",49,"F","Vehicle/Towed Trailer",202006
202006,3,0,40998,885507,"D","06/03/2020 00:00:00",,"M","Vehicle/Towed Trailer",202006
202006,3,0,40999,885522,"I","06/03/2020 00:00:00",,"M","Permanent Home",202006
202006,6,0,41000,886010,"D","06/06/2020 00:00:00",65,"F","Outside/Open Areas",202006
202006,9,0,41257,888897,"I","06/09/2020 00:00:00",29,"M","Vehicle/Towed Trailer",202006
202006,9,0,41258,888897,"I","06/09/2020 00:00:00",40,"M","Vehicle/Towed Trailer",202006
202006,25,0,41074,889692,"D","06/25/2020 00:00:00",27,"M","Outside/Open Areas",202006
202006,29,0,41269,891063,"D","06/29/2020 00:00:00",70,"M","In Water",202006
202006,6,0,41110,891933,"I","06/06/2020 00:00:00",70,"M","Outside/Open Areas",202006
202006,29,0,41113,891995,"I","06/29/2020 00:00:00",,"F","Unknown",202006
202006,29,0,41114,891995,"I","06/29/2020 00:00:00",,"M","Unknown",202006
202006,4,0,41116,892093,"D","06/04/2020 00:00:00",31,"M","In Water",202006
202006,5,0,41119,892334,"D","06/05/2020 00:00:00",3,"M","In Water",202006
202006,23,0,41162,894477,"D","06/23/2020 00:00:00",18,"M","In Water",202006
202006,30,0,41212,898393,"I","06/30/2020 00:00:00",,"M","Unknown",202006
202006,30,0,41213,898393,"I","06/30/2020 00:00:00",,"M","Unknown",202006
202006,13,0,41221,899310,"D","06/13/2020 00:00:00",4,"F","Vehicle/Towed Trailer",202006
202006,13,0,41222,899310,"D","06/13/2020 00:00:00",3,"M","Vehicle/Towed Trailer",202006
202006,28,0,41227,900079,"D","06/28/2020 00:00:00",,"","Unknown",202006
202006,28,0,41228,900616,"D","06/28/2020 00:00:00",47,"M","Mobile/Trailer Home",202006
202006,21,0,41245,903372,"D","06/21/2020 00:00:00",,"","Permanent Home",202006
202006,19,0,41250,903730,"D","06/19/2020 00:00:00",25,"M","In Water",202006
202006,20,0,41251,903730,"D","06/20/2020 00:00:00",53,"M","In Water",202006
202006,20,0,41252,903730,"D","06/20/2020 00:00:00",71,"M","In Water",202006
202006,9,0,41253,903916,"D","06/09/2020 00:00:00",64,"F","Boating",202006
202006,28,0,41263,906030,"D","06/28/2020 00:00:00",,"M","Outside/Open Areas",202006
202006,21,0,41262,906033,"D","06/21/2020 00:00:00",24,"M","Outside/Open Areas",202006
202006,24,0,41266,906034,"D","06/24/2020 00:00:00",,"","Boating",202006
202006,10,0,41267,906080,"D","06/10/2020 00:00:00",26,"M","In Water",202006
202006,15,0,41300,909838,"D","06/15/2020 00:00:00",60,"M","Boating",202006
202006,15,0,41301,909838,"D","06/15/2020 00:00:00",50,"M","Boating",202006
202003,9,0,40667,871648,"D","03/09/2020 00:00:00",17,"M","Outside/Open Areas",202003
202003,14,0,40707,873985,"I","03/14/2020 00:00:00",17,"M","Vehicle/Towed Trailer",202003
202003,14,0,40801,879223,"I","03/14/2020 00:00:00",23,"F","Vehicle/Towed Trailer",202003
202003,18,0,40803,879632,"D","03/18/2020 00:00:00",36,"M","Outside/Open Areas",202003
202003,19,0,40818,880581,"I","03/19/2020 00:00:00",30,"M","Vehicle/Towed Trailer",202003
202003,21,0,40820,873165,"D","03/21/2020 00:00:00",14,"F","Vehicle/Towed Trailer",202003
202003,5,0,40821,880568,"I","03/05/2020 00:00:00",63,"M","Vehicle/Towed Trailer",202003
202003,15,0,40834,881590,"D","03/15/2020 00:00:00",60,"M","Outside/Open Areas",202003
202003,28,0,40847,879382,"D","03/28/2020 00:00:00",38,"M","In Water",202003
202003,19,0,40849,882846,"I","03/19/2020 00:00:00",35,"F","Vehicle/Towed Trailer",202003
202003,13,0,40850,882919,"I","03/13/2020 00:00:00",25,"F","Vehicle/Towed Trailer",202003
202003,13,0,40851,882919,"I","03/13/2020 00:00:00",11,"F","Vehicle/Towed Trailer",202003
202003,10,0,40883,883022,"I","03/10/2020 00:00:00",68,"F","In Water",202003
202001,3,0,40684,863829,"D","01/03/2020 00:00:00",63,"F","Permanent Home",202001
202001,7,0,40095,863926,"I","01/07/2020 00:00:00",,"M","Vehicle/Towed Trailer",202001
202001,17,0,40242,865048,"I","01/17/2020 00:00:00",,"M","Vehicle/Towed Trailer",202001
202001,23,0,40294,865786,"I","01/23/2020 00:00:00",,"M","Vehicle/Towed Trailer",202001
202001,11,0,40288,865838,"I","01/11/2020 00:00:00",39,"M","Outside/Open Areas",202001
202001,11,0,40289,865838,"I","01/11/2020 00:00:00",27,"M","Outside/Open Areas",202001
202001,18,0,40384,866243,"D","01/18/2020 00:00:00",44,"F","Outside/Open Areas",202001
202001,10,0,40675,866540,"D","01/10/2020 00:00:00",44,"M","Mobile/Trailer Home",202001
202001,11,0,40439,866671,"D","01/11/2020 00:00:00",75,"M","Permanent Home",202001
202001,1,0,40600,866919,"D","01/01/2020 00:00:00",26,"M","Outside/Open Areas",202001
202001,1,0,40601,866919,"D","01/01/2020 00:00:00",24,"M","Outside/Open Areas",202001
202001,11,0,40452,866960,"D","01/11/2020 00:00:00",79,"M","Mobile/Trailer Home",202001
202001,11,0,40453,866960,"D","01/11/2020 00:00:00",65,"F","Mobile/Trailer Home",202001
202001,11,0,40454,866960,"D","01/11/2020 00:00:00",87,"M","Mobile/Trailer Home",202001
202001,30,0,40515,867068,"D","01/30/2020 00:00:00",28,"F","Vehicle/Towed Trailer",202001
202001,30,0,40516,867068,"D","01/30/2020 00:00:00",59,"M","Vehicle/Towed Trailer",202001
202001,10,0,40455,867124,"D","01/10/2020 00:00:00",58,"M","Vehicle/Towed Trailer",202001
202001,11,0,40456,867163,"D","01/11/2020 00:00:00",14,"M","Vehicle/Towed Trailer",202001
202001,24,0,40530,868181,"I","01/24/2020 00:00:00",62,"M","Vehicle/Towed Trailer",202001
202001,24,0,40531,868181,"I","01/24/2020 00:00:00",16,"M","Vehicle/Towed Trailer",202001
202001,18,0,40654,869337,"D","01/18/2020 00:00:00",18,"M","Outside/Open Areas",202001
202001,7,0,40641,870754,"D","01/07/2020 00:00:00",58,"M","Outside/Open Areas",202001
202001,7,0,40642,870754,"D","01/07/2020 00:00:00",46,"M","Outside/Open Areas",202001
202001,7,0,40643,870754,"D","01/07/2020 00:00:00",33,"F","Outside/Open Areas",202001
202001,16,0,40708,870889,"I","01/16/2020 00:00:00",18,"F","Outside/Open Areas",202001
202001,23,0,40661,871138,"D","01/23/2020 00:00:00",46,"F","Outside/Open Areas",202001
202001,11,0,40709,871694,"D","01/11/2020 00:00:00",,"","Vehicle/Towed Trailer",202001
202001,20,0,40676,872110,"D","01/20/2020 00:00:00",80,"F","Permanent Home",202001
202001,4,0,40712,872351,"I","01/04/2020 00:00:00",60,"M","Vehicle/Towed Trailer",202001
202001,10,0,40680,872628,"D","01/10/2020 00:00:00",53,"F","Vehicle/Towed Trailer",202001
202001,7,0,40693,873349,"D","01/07/2020 00:00:00",,"M","Outside/Open Areas",202001
202001,13,0,40697,873666,"D","01/13/2020 00:00:00",,"","School",202001
202001,13,0,40698,873666,"D","01/13/2020 00:00:00",,"","School",202001
202001,13,0,40699,873666,"D","01/13/2020 00:00:00",,"","School",202001
202001,15,0,40702,873776,"D","01/15/2020 00:00:00",50,"M","Vehicle/Towed Trailer",202001
202001,14,0,40713,873932,"I","01/14/2020 00:00:00",,"M","Vehicle/Towed Trailer",202001
202001,14,0,40714,873932,"I","01/14/2020 00:00:00",,"F","Vehicle/Towed Trailer",202001
202003,20,0,40686,872994,"D","03/20/2020 00:00:00",48,"M","Vehicle/Towed Trailer",202003
202003,20,0,40687,872994,"D","03/20/2020 00:00:00",47,"M","Vehicle/Towed Trailer",202003
202003,20,0,40688,872994,"D","03/20/2020 00:00:00",35,"F","Vehicle/Towed Trailer",202003
202003,20,0,40689,872994,"D","03/20/2020 00:00:00",13,"M","Vehicle/Towed Trailer",202003
202003,20,0,40690,872994,"D","03/20/2020 00:00:00",7,"F","Vehicle/Towed Trailer",202003
202003,20,0,40691,872994,"D","03/20/2020 00:00:00",4,"F","Vehicle/Towed Trailer",202003
202003,3,0,40978,882999,"D","03/03/2020 00:00:00",36,"M","Outside/Open Areas",202003
202003,3,0,40979,882999,"D","03/03/2020 00:00:00",33,"F","Outside/Open Areas",202003
202003,3,0,40980,883007,"D","03/03/2020 00:00:00",84,"M","Permanent Home",202003
202003,3,0,40981,883007,"D","03/03/2020 00:00:00",81,"F","Permanent Home",202003
202003,3,0,40982,883007,"D","03/03/2020 00:00:00",38,"F","Permanent Structure",202003
202003,3,0,41126,883016,"D","03/03/2020 00:00:00",31,"F","Permanent Home",202003
202003,3,0,41127,883016,"D","03/03/2020 00:00:00",4,"F","Permanent Home",202003
202003,3,0,41128,883016,"D","03/03/2020 00:00:00",7,"M","Mobile/Trailer Home",202003
202003,3,0,41129,883016,"D","03/03/2020 00:00:00",54,"M","Mobile/Trailer Home",202003
202003,3,0,41130,883016,"D","03/03/2020 00:00:00",30,"F","Permanent Home",202003
202003,3,0,41131,883016,"D","03/03/2020 00:00:00",4,"M","Permanent Home",202003
202003,3,0,41132,883016,"D","03/03/2020 00:00:00",30,"M","Permanent Home",202003
202003,3,0,41133,883016,"D","03/03/2020 00:00:00",30,"F","Permanent Home",202003
202003,3,0,41134,883016,"D","03/03/2020 00:00:00",2,"M","Permanent Home",202003
202003,3,0,41135,883016,"D","03/03/2020 00:00:00",50,"M","Permanent Home",202003
202003,3,0,41136,883016,"D","03/03/2020 00:00:00",50,"F","Permanent Home",202003
202003,3,0,41137,883016,"D","03/03/2020 00:00:00",67,"F","Permanent Structure",202003
202003,3,0,41138,883016,"D","03/03/2020 00:00:00",28,"F","Permanent Structure",202003
202003,3,0,41139,883016,"D","03/03/2020 00:00:00",12,"F","Permanent Home",202003
202003,3,0,41140,883016,"D","03/03/2020 00:00:00",65,"M","Mobile/Trailer Home",202003
202003,3,0,41141,883016,"D","03/03/2020 00:00:00",63,"F","Mobile/Trailer Home",202003
202003,3,0,41142,883016,"D","03/03/2020 00:00:00",36,"F","Permanent Home",202003
202003,3,0,41143,883016,"D","03/03/2020 00:00:00",68,"M","Permanent Home",202003
202003,3,0,41144,883016,"D","03/03/2020 00:00:00",34,"F","Mobile/Trailer Home",202003
202002,7,0,40520,867876,"I","02/07/2020 00:00:00",34,"F","Vehicle/Towed Trailer",202002
202002,7,0,40522,867881,"I","02/07/2020 00:00:00",80,"M","Vehicle/Towed Trailer",202002
202002,6,0,40552,868112,"D","02/06/2020 00:00:00",74,"M","Vehicle/Towed Trailer",202002
202002,9,0,40557,868267,"I","02/09/2020 00:00:00",32,"F","Vehicle/Towed Trailer",202002
202002,13,0,40775,868619,"D","02/13/2020 00:00:00",49,"F","Vehicle/Towed Trailer",202002
202002,11,0,40604,869330,"D","02/11/2020 00:00:00",65,"M","Outside/Open Areas",202002
202002,14,0,40607,869338,"D","02/14/2020 00:00:00",73,"F","Permanent Home",202002
202002,17,0,40608,869355,"D","02/17/2020 00:00:00",72,"M","Outside/Open Areas",202002
202002,14,0,40711,869390,"D","02/14/2020 00:00:00",73,"M","Vehicle/Towed Trailer",202002
202002,9,0,40749,869643,"D","02/09/2020 00:00:00",32,"F","Vehicle/Towed Trailer",202002
202002,22,0,40628,870187,"D","02/22/2020 00:00:00",44,"M","In Water",202002
202002,15,0,40650,870789,"D","02/15/2020 00:00:00",28,"M","Outside/Open Areas",202002
202002,15,0,40651,870789,"D","02/15/2020 00:00:00",30,"M","Outside/Open Areas",202002
202002,25,0,40664,871644,"D","02/25/2020 00:00:00",21,"M","Outside/Open Areas",202002
202002,10,0,40665,871646,"D","02/10/2020 00:00:00",32,"M","Outside/Open Areas",202002
202002,25,0,40746,871919,"I","02/25/2020 00:00:00",26,"M","Vehicle/Towed Trailer",202002
202002,6,0,40787,871967,"D","02/06/2020 00:00:00",61,"F","Unknown",202002
202002,7,0,40782,872848,"I","02/07/2020 00:00:00",19,"M","Vehicle/Towed Trailer",202002
202002,15,0,40683,872925,"D","02/15/2020 00:00:00",37,"F","Outside/Open Areas",202002
202002,9,0,40776,874819,"I","02/09/2020 00:00:00",30,"F","Vehicle/Towed Trailer",202002
202002,14,0,40777,875298,"I","02/14/2020 00:00:00",39,"M","Vehicle/Towed Trailer",202002
202002,13,0,40768,875856,"I","02/13/2020 00:00:00",45,"M","Vehicle/Towed Trailer",202002
202002,13,0,40769,875856,"I","02/13/2020 00:00:00",18,"M","Vehicle/Towed Trailer",202002
202002,12,0,40780,876089,"I","02/12/2020 00:00:00",41,"M","Vehicle/Towed Trailer",202002
202002,7,0,40767,876110,"I","02/07/2020 00:00:00",27,"M","Vehicle/Towed Trailer",202002
202002,6,0,40751,876151,"I","02/06/2020 00:00:00",25,"M","Vehicle/Towed Trailer",202002
202002,7,0,40773,877756,"I","02/07/2020 00:00:00",43,"F","Vehicle/Towed Trailer",202002
202002,4,0,40788,878823,"I","02/04/2020 00:00:00",,"","Vehicle/Towed Trailer",202002
202002,5,0,40797,879200,"D","02/05/2020 00:00:00",82,"M","Vehicle/Towed Trailer",202002
202002,13,0,40798,879214,"D","02/13/2020 00:00:00",64,"M","Vehicle/Towed Trailer",202002
202002,26,0,40799,879215,"I","02/26/2020 00:00:00",34,"M","Vehicle/Towed Trailer",202002
202002,15,0,40804,879903,"D","02/15/2020 00:00:00",27,"M","In Water",202002
202001,10,0,40525,865661,"I","01/10/2020 00:00:00",18,"M","Vehicle/Towed Trailer",202001
202001,26,0,40678,872072,"I","01/26/2020 00:00:00",24,"M","Vehicle/Towed Trailer",202001
202001,23,0,40770,877673,"I","01/23/2020 00:00:00",56,"M","Vehicle/Towed Trailer",202001
202001,23,0,40771,877673,"I","01/23/2020 00:00:00",56,"F","Vehicle/Towed Trailer",202001
